judul,url,lpse,metode,satker,tahap,hps,jadwal,page
Perencanaan Pembangunan Flat Type 45 (1 Tower) dan Sarpras Lanal Bali,https://pengadaan.info/detail/perencanaan-pembangunan-flat-type-45-1-tower-dan-sarpras-lanal-bali,LPSE TNI Angkatan Laut,-,MABES TNI AL TNI AL,Pengumuman Prakualifikasi [...],"Hps Rp 583.269.000,00",20 January 2026 23:00:00 s/d 09 March 2026 23:59:00,7
Pengawasan Pembangunan Mess Perwira (2 lantai) dan Sarpras Koarmada III,https://pengadaan.info/detail/pengawasan-pembangunan-mess-perwira-2-lantai-dan-sarpras-koarmada-iii,LPSE TNI Angkatan Laut,-,MABES TNI AL TNI AL,Pengumuman Prakualifikasi [...],"Hps Rp 403.726.000,00",20 January 2026 23:00:00 s/d 06 March 2026 23:59:00,7
Pengawasan Pembangunan Mess Perwira (2 lantai) dan Sarpras Koarmada III,https://pengadaan.info/detail/pengawasan-pembangunan-mess-perwira-2-lantai-dan-sarpras-koarmada-iii,LPSE TNI Angkatan Laut,-,MABES TNI AL TNI AL,Pengumuman Prakualifikasi [...],"Hps Rp 403.726.000,00",20 January 2026 23:00:00 s/d 06 March 2026 23:59:00,8
Pengawasan Pembangunan Flat Type 45 (2 lantai) dan Sarpras Kodaeral III,https://pengadaan.info/detail/pengawasan-pembangunan-flat-type-45-2-lantai-dan-sarpras-kodaeral-iii,LPSE TNI Angkatan Laut,-,MABES TNI AL TNI AL,Pengumuman Prakualifikasi [...],"Hps Rp 476.773.000,00",20 January 2026 23:00:00 s/d 06 March 2026 23:59:00,8
Peningkatan Jalan Pasi Janeng - Paya Baro - Leubok Beutong,https://pengadaan.info/detail/peningkatan-jalan-pasi-janeng-paya-baro-leubok-beutong,LPSE Kabupaten Aceh Barat,-,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG,Pengumuman Pascakualifikasi [...],"Hps Rp 707.065.000,00",20 January 2026 22:00:00 s/d 23 February 2026 16:00:00,8
Peningkatan Jalan Akses Puskesmas Samatiga,https://pengadaan.info/detail/peningkatan-jalan-akses-puskesmas-samatiga,LPSE Kabupaten Aceh Barat,-,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG,Pengumuman Pascakualifikasi [...],"Hps Rp 1.343.992.000,00",20 January 2026 22:00:00 s/d 23 February 2026 16:00:00,8
Peningkatan Jalan Blang Dalam - Teupin Panah,https://pengadaan.info/detail/peningkatan-jalan-blang-dalam-teupin-panah,LPSE Kabupaten Aceh Barat,-,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG,Pengumuman Pascakualifikasi [...],"Hps Rp 484.997.000,00",20 January 2026 22:00:00 s/d 23 February 2026 16:00:00,8
Peningkatan Jalan Blang Mee - Seuradek,https://pengadaan.info/detail/peningkatan-jalan-blang-mee-seuradek,LPSE Kabupaten Aceh Barat,-,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG,Pengumuman Pascakualifikasi [...],"Hps Rp 474.988.000,00",20 January 2026 22:00:00 s/d 23 February 2026 16:00:00,8
Peningkatan Jalan Alue Keumuneng - Simpang Teumarom,https://pengadaan.info/detail/peningkatan-jalan-alue-keumuneng-simpang-teumarom,LPSE Kabupaten Aceh Barat,-,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG,Pengumuman Pascakualifikasi [...],"Hps Rp 484.994.000,00",20 January 2026 22:00:00 s/d 23 February 2026 16:00:00,8
Peningkatan Jalan Rimba Langgeh - Suak Bidok,https://pengadaan.info/detail/peningkatan-jalan-rimba-langgeh-suak-bidok,LPSE Kabupaten Aceh Barat,-,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG,Pengumuman Pascakualifikasi [...],"Hps Rp 474.993.000,00",20 January 2026 22:00:00 s/d 23 February 2026 16:00:00,8
Peningkatan Jalan Balee - Reudeup - Buloh - Bukit Jaya,https://pengadaan.info/detail/peningkatan-jalan-balee-reudeup-buloh-bukit-jaya,LPSE Kabupaten Aceh Barat,-,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG,Pengumuman Pascakualifikasi [...],"Hps Rp 474.988.000,00",20 January 2026 22:00:00 s/d 23 February 2026 16:00:00,8
Peningkatan Jalan Jawi - Sipot (Alue Surin),https://pengadaan.info/detail/peningkatan-jalan-jawi-sipot-alue-surin,LPSE Kabupaten Aceh Barat,-,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG,Pengumuman Pascakualifikasi [...],"Hps Rp 474.985.000,00",20 January 2026 22:00:00 s/d 23 February 2026 16:00:00,8
Peningkatan Jalan Blang Mee - Seuradek,https://pengadaan.info/detail/peningkatan-jalan-blang-mee-seuradek,LPSE Kabupaten Aceh Barat,-,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG,Pengumuman Pascakualifikasi [...],"Hps Rp 474.988.000,00",20 January 2026 22:00:00 s/d 23 February 2026 16:00:00,9
Peningkatan Jalan Jawi - Sipot (Alue Surin),https://pengadaan.info/detail/peningkatan-jalan-jawi-sipot-alue-surin,LPSE Kabupaten Aceh Barat,-,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG,Pengumuman Pascakualifikasi [...],"Hps Rp 474.985.000,00",20 January 2026 22:00:00 s/d 23 February 2026 16:00:00,9
Supervisi Pembangunan Perkuatan Tebing Sungai Tabalong,https://pengadaan.info/detail/supervisi-pembangunan-perkuatan-tebing-sungai-tabalong,LPSE Kementrian Pekerjaan Umum dan Perumahan Rakyat,-,694223,Pengumuman Prakualifikasi [...],"Hps Rp 1.200.000.000,00",20 January 2026 21:30:00 s/d 13 April 2026 16:00:00,9
Supervisi Pengembangan Fasilitas Pelabuhan Laut Sungai Nyamuk TA.2026-2027,https://pengadaan.info/detail/supervisi-pengembangan-fasilitas-pelabuhan-laut-sungai-nyamuk-ta2026-2027,LPSE Kementerian Perhubungan,-,UNIT PENYELENGGARA PELABUHAN SUNGAI NYAMUK,Pengumuman Prakualifikasi [...],"Hps Rp 2.440.077.000,00",20 January 2026 21:00:00 s/d 20 March 2026 16:00:00,9
Perencanaan Peningkatan/Pengaspalan Jalan Landan Induk,https://pengadaan.info/detail/perencanaan-peningkatanpengaspalan-jalan-landan-induk,LPSE Kabupaten Murung Raya,-,DINAS PERUMAHAN RAKYAT DAN KAWASAN PERMUKIMAN SERTA PERTANAHAN,Pengumuman Prakualifikasi [...],"Hps Rp 172.000.000,00",20 January 2026 20:00:00 s/d 27 February 2026 15:00:00,9
Perencanaan Peningkatan/Pengaspalan Jalan Sengaji Ke GKE Hosana,https://pengadaan.info/detail/perencanaan-peningkatanpengaspalan-jalan-sengaji-ke-gke-hosana,LPSE Kabupaten Murung Raya,-,DINAS PERUMAHAN RAKYAT DAN KAWASAN PERMUKIMAN SERTA PERTANAHAN,Pengumuman Prakualifikasi [...],"Hps Rp 205.400.000,00",20 January 2026 20:00:00 s/d 27 February 2026 15:00:00,9
BELANJA JASA,https://pengadaan.info/detail/belanja-jasa,LPSE Kota Gunungsitoli,-,SEKRETARIAT DAERAH KOTA GUNUNGSITOLI,Pengumuman Pascakualifikasi [...],"Hps Rp 1.751.013.925,40",20 January 2026 20:00:00 s/d 19 February 2026 17:00:00,9
